"","series","episode","first_name","last_name","signature_bake","technical","show_stopper","result","baker_age","baker_occupation","hometown"
"1",1,1,"Annetha","Mills","Light Jamaican Black Cakewith Strawberries and Cream",2,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream","IN",30,"Midwife","Essex"
"2",1,1,"David","Chambers","Chocolate Orange Cake",3,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs","IN",31,"Entrepreneur","Milton Keynes"
"3",1,1,"Edd","Kimber","Caramel Cinnamon and Banana Cake",1,NA,"IN",24,"Debt collector for Yorkshire Bank","Bradford"
"4",1,1,"Jasminder","Randhawa","Fresh Mango and Passion Fruit Hummingbird Cake",NA,NA,"IN",45,"Assistant Credit Control Manager","Birmingham"
"5",1,1,"Jonathan","Shepherd","Carrot Cake with Lime and Cream Cheese Icing",9,"Three Tiered White and Dark Chocolate with Almond and Cherry","IN",25,"Research Analyst","St Albans"
"6",1,1,"Louise","Brimelow","Carrot and Orange Cake",NA,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border","IN",44,"Police Officer","Manchester"
"7",1,1,"Miranda","Browne","Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,"Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"8",1,1,"Ruth","Clemens","Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd",NA,"Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles","IN",31,"Retail manager/Housewife","Poynton, Cheshire"
"9",1,1,"Lea","Harris","Cranberry and Pistachio Cakewith Orange Flower Water Icing",10,"Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit","OUT",51,"Retired","Midlothian, Scotland"
"10",1,1,"Mark","Whithers","Sticky Marmalade Tea Loaf",NA,"Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.","OUT",48,"Bus Driver","South Wales"
"11",1,2,"David","Chambers","Cheddar Cheese and Fresh Rosemary Biscuits",8,"Choux Pastry Swans  Chocolate Profiteroles","IN",31,"Entrepreneur","Milton Keynes"
"12",1,2,"Edd","Kimber","Oatmeal Raisin Cookie",6,"Pink Macarons","IN",24,"Debt collector for Yorkshire Bank","Bradford"
"13",1,2,"Jasminder","Randhawa","Millionaires' Shortbread",2,"Meringues with Chocolate and Space DustCoffee flavoured Eclairs","IN",45,"Assistant Credit Control Manager","Birmingham"
"14",1,2,"Jonathan","Shepherd","Honey and Candied Ginger Cookies",1,"Meringues with Whiskey Cream","IN",25,"Research Analyst","St Albans"
"15",1,2,"Miranda","Browne","Fresh Vanilla Biscuits with Royal Icing",3,"Pistachio Macarons","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"16",1,2,"Ruth","Clemens","Peanut Shortbread withSalted Peanut Caramel",5,"Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs","IN",31,"Retail manager/Housewife","Poynton, Cheshire"
"17",1,2,"Annetha","Mills","Rose Petal Shortbread",7,"Pink Swirl Macarons / Eclairs","OUT",30,"Midwife","Essex"
"18",1,2,"Louise","Brimelow","Stained Glass Window Shortbread",4,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons","OUT",44,"Police Officer","Manchester"
"19",1,2,"Lea","Harris",NA,NA,NA,NA,51,"Retired","Midlothian, Scotland"
"20",1,2,"Mark","Whithers",NA,NA,NA,NA,48,"Bus Driver","South Wales"
